surface	normalized	reading	partOfSpeech	type	count	sources
固定	固定	コテイ	名詞,普通名詞,サ変可能	japanese	116	Tracker/Design/DebugHost/debug-host-cli-ui-detail-design.md:32; Tracker/Design/DebugHost/raw-vision-viewer-plan.md:21; Tracker/Design/tasks-status.md:19; Tracker/Design/Core/tracker-architecture-plan.md:13; Tracker/Design/RuntimeHost/runtime-host-plan.md:9; Tracker/Design/Core/tracker-core-engine-detail-design.md:5; Tracker/Tracker.DebugHost/README.md:5; Tracker/Design/Archive/DebugHost/tasks-status.md:4; Tracker/Design/Archive/Core/tasks-status.md:3; Tracker/Design/Archive/Core/phases-status.md:2; Tracker/Design/Core/tracker-history-000-038.md:1; Tracker/Design/Core/tracker-test-maintainability-detail-design.md:1; Tracker/Design/phases-status.md:1
既存	既存	キソン	名詞,普通名詞,サ変可能	japanese	108	Tracker/Design/DebugHost/debug-host-cli-ui-detail-design.md:46; Tracker/Design/Core/tracker-architecture-plan.md:18; Tracker/Design/tasks-status.md:9; Tracker/Tracker.DebugHost/README.md:6; Tracker/Design/Core/tracker-test-maintainability-detail-design.md:5; Tracker/Design/DebugHost/debug-host-maintainability-design.md:5; Tracker/Design/Core/tracker-core-engine-detail-design.md:4; Tracker/Design/Core/tracker-history-000-038.md:3; Tracker/Design/DebugHost/raw-vision-viewer-plan.md:3; tools/lint/README.md:3; AGENTS.md:2; Tracker/Design/Archive/Core/tasks-status.md:1; Tracker/Design/RuntimeHost/runtime-host-plan.md:1; Tracker/Design/phases-status.md:1; feedback-points/feedback-points.md:1
対象	対象	タイショウ	名詞,普通名詞,一般	japanese	102	Tracker/Design/tasks-status.md:33; Tracker/Design/Core/tracker-architecture-plan.md:14; tools/lint/README.md:11; Tracker/Design/DebugHost/debug-host-cli-ui-detail-design.md:9; Tracker/Tracker.DebugHost/README.md:8; Tracker/Design/Core/tracker-core-engine-detail-design.md:5; Tracker/Design/DebugHost/raw-vision-viewer-plan.md:5; Tracker/Design/Core/tracker-test-maintainability-detail-design.md:4; Tracker/Design/phases-status.md:4; Tracker/Design/Core/tracker-history-000-038.md:3; Tracker/Design/DebugHost/debug-host-maintainability-design.md:3; Tracker/Design/Archive/DebugHost/tasks-status.md:2; Tracker/Design/Archive/Core/tasks-status.md:1
実行	実行	ジッコウ	名詞,普通名詞,サ変可能	japanese	100	Tracker/Design/tasks-status.md:43; Tracker/Design/RuntimeHost/runtime-host-plan.md:8; tools/lint/README.md:6; Tracker/Design/Archive/DebugHost/tasks-status.md:5; Tracker/Design/Core/tracker-architecture-plan.md:5; Tracker/Design/Core/tracker-core-engine-detail-design.md:5; Tracker/Design/Core/tracker-test-maintainability-detail-design.md:5; Tracker/Design/phases-status.md:5; Tracker/Design/Archive/Core/tasks-status.md:4; Tracker/Tracker.DebugHost/README.md:4; README.md:3; Tracker/Tracker.CaptureReplay/README.md:3; AGENTS.md:2; feedback-points/feedback-points.md:2
設計	設計	セッケイ	名詞,普通名詞,サ変可能	japanese	99	Tracker/Design/Archive/DebugHost/tasks-status.md:17; Tracker/Design/tasks-status.md:14; Tracker/Design/Core/tracker-architecture-plan.md:13; Tracker/Design/Archive/Core/tasks-status.md:7; Tracker/Design/Archive/DebugHost/phases-status.md:6; Tracker/Design/Core/tracker-core-engine-detail-design.md:6; Tracker/Design/Core/tracker-history-000-038.md:6; Tracker/Design/DebugHost/debug-host-cli-ui-detail-design.md:6; Tracker/Design/DebugHost/raw-vision-viewer-plan.md:6; Tracker/Design/phases-status.md:6; Tracker/Design/DebugHost/debug-host-maintainability-design.md:4; Tracker/Design/Core/tracker-test-maintainability-detail-design.md:3; Tracker/Design/RuntimeHost/runtime-host-plan.md:3; AGENTS.md:1; tools/lint/README.md:1
状態	状態	ジョウタイ	名詞,普通名詞,一般	japanese	97	Tracker/Design/Core/tracker-architecture-plan.md:29; Tracker/Design/DebugHost/debug-host-cli-ui-detail-design.md:11; Tracker/Design/tasks-status.md:10; Tracker/Design/DebugHost/raw-vision-viewer-plan.md:9; Tracker/Design/Archive/DebugHost/tasks-status.md:6; Tracker/Tracker.DebugHost/README.md:6; Tracker/Design/Archive/Core/tasks-status.md:5; Tracker/Design/Core/tracker-history-000-038.md:4; Tracker/Design/Archive/DebugHost/phases-status.md:3; Tracker/Design/Core/tracker-core-engine-detail-design.md:3; Tracker/Design/Core/tracker-test-maintainability-detail-design.md:3; Tracker/Design/phases-status.md:2; feedback-points/feedback-points.md:2; README.md:1; Tracker/Design/Archive/Core/phases-status.md:1; Tracker/Design/DebugHost/debug-host-maintainability-design.md:1; tools/lint/README.md:1
診断	診断	シンダン	名詞,普通名詞,サ変可能	japanese	94	Tracker/Design/tasks-status.md:43; Tracker/Design/Archive/DebugHost/tasks-status.md:19; Tracker/Design/Archive/Core/tasks-status.md:17; Tracker/Design/phases-status.md:5; Tracker/Design/Archive/DebugHost/phases-status.md:3; Tracker/Design/Core/tracker-architecture-plan.md:3; Tracker/Tracker.DebugHost/README.md:2; Tracker/Design/Archive/Core/phases-status.md:1; Tracker/Design/DebugHost/debug-host-cli-ui-detail-design.md:1
選択	選択	センタク	名詞,普通名詞,サ変可能	japanese	94	Tracker/Design/DebugHost/debug-host-cli-ui-detail-design.md:46; Tracker/Tracker.DebugHost/README.md:15; Tracker/Design/Core/tracker-architecture-plan.md:14; Tracker/Design/Archive/Core/tasks-status.md:7; Tracker/Design/DebugHost/raw-vision-viewer-plan.md:4; Tracker/Design/Archive/DebugHost/tasks-status.md:2; Tracker/Design/DebugHost/debug-host-maintainability-design.md:2; Tracker/Design/RuntimeHost/runtime-host-plan.md:2; Tracker/Design/phases-status.md:1; Tracker/Design/tasks-status.md:1
検証	検証	ケンショウ	名詞,普通名詞,サ変可能	japanese	91	Tracker/Design/Archive/Core/tasks-status.md:19; Tracker/Design/tasks-status.md:17; Tracker/Design/Core/tracker-history-000-038.md:16; Tracker/Design/Archive/DebugHost/tasks-status.md:10; Tracker/Tracker.DebugHost/README.md:5; Tracker/Design/DebugHost/debug-host-cli-ui-detail-design.md:4; Tracker/Design/Archive/DebugHost/phases-status.md:3; Tracker/Tracker.CaptureReplay/README.md:3; Tracker/Design/Core/tracker-architecture-plan.md:2; Tracker/Design/Core/tracker-test-maintainability-detail-design.md:2; Tracker/Design/DebugHost/debug-host-maintainability-design.md:2; Tracker/Design/phases-status.md:2; tools/lint/README.md:2; README.md:1; Tracker/Design/Archive/Core/phases-status.md:1; Tracker/Design/Core/tracker-core-engine-detail-design.md:1; feedback-points/feedback-points.md:1
更新	更新	コウシン	名詞,普通名詞,サ変可能	japanese	88	Tracker/Design/Core/tracker-architecture-plan.md:31; Tracker/Design/DebugHost/debug-host-cli-ui-detail-design.md:10; Tracker/Design/tasks-status.md:9; Tracker/Design/Archive/Core/tasks-status.md:6; Tracker/Design/DebugHost/raw-vision-viewer-plan.md:6; Tracker/Design/Core/tracker-core-engine-detail-design.md:5; Tracker/Tracker.DebugHost/README.md:4; Tracker/Design/RuntimeHost/runtime-host-plan.md:3; tools/lint/README.md:3; Tracker/Design/Archive/DebugHost/phases-status.md:2; Tracker/Design/Archive/DebugHost/tasks-status.md:2; feedback-points/feedback-points.md:2; Tracker/Design/Archive/Core/phases-status.md:1; Tracker/Design/Core/tracker-history-000-038.md:1; Tracker/Design/Core/tracker-test-maintainability-detail-design.md:1; Tracker/Design/DebugHost/debug-host-maintainability-design.md:1; Tracker/Design/phases-status.md:1
