surface	normalized	reading	partOfSpeech	type	count	sources
正常	正常	セイジョウ	名詞,普通名詞,形状詞可能	japanese	27	Tracker/Design/tasks-status.md:15; Tracker/Design/DebugHost/debug-host-cli-ui-detail-design.md:4; Tracker/Design/phases-status.md:3; Tracker/Design/Core/tracker-history-000-038.md:2; Tracker/Design/Core/tracker-core-engine-detail-design.md:1; Tracker/Design/DebugHost/raw-vision-viewer-plan.md:1; Tracker/Design/RuntimeHost/runtime-host-plan.md:1
移動	移動	イドウ	名詞,普通名詞,サ変可能	japanese	26	Tracker/Design/Core/tracker-test-maintainability-detail-design.md:10; Tracker/Design/Core/tracker-core-engine-detail-design.md:4; Tracker/Design/Core/tracker-architecture-plan.md:3; Tracker/Design/Archive/Core/tasks-status.md:2; Tracker/Tracker.DebugHost/README.md:2; Tracker/Design/Archive/DebugHost/tasks-status.md:1; Tracker/Design/Core/tracker-history-000-038.md:1; Tracker/Design/DebugHost/debug-host-cli-ui-detail-design.md:1; Tracker/Design/tasks-status.md:1; tools/lint/README.md:1
結果	結果	ケッカ	名詞,普通名詞,副詞可能	japanese	26	Tracker/Design/Core/tracker-architecture-plan.md:10; Tracker/Design/Core/tracker-history-000-038.md:7; Tracker/Design/DebugHost/debug-host-cli-ui-detail-design.md:3; Tracker/Tracker.DebugHost/README.md:2; Tracker/Design/Archive/Core/phases-status.md:1; Tracker/Design/Core/tracker-test-maintainability-detail-design.md:1; Tracker/Design/DebugHost/raw-vision-viewer-plan.md:1; Tracker/Design/RuntimeHost/runtime-host-plan.md:1
内容	内容	ナイヨウ	名詞,普通名詞,一般	japanese	26	Tracker/Design/Core/tracker-architecture-plan.md:9; Tracker/Design/Core/tracker-test-maintainability-detail-design.md:3; AGENTS.md:2; Tracker/Design/Archive/Core/tasks-status.md:2; Tracker/Design/Core/tracker-history-000-038.md:2; Tracker/Design/DebugHost/debug-host-cli-ui-detail-design.md:2; Tracker/Design/tasks-status.md:2; Tracker/Design/Archive/DebugHost/tasks-status.md:1; Tracker/Design/Core/tracker-core-engine-detail-design.md:1; Tracker/Design/DebugHost/debug-host-maintainability-design.md:1; feedback-points/feedback-points.md:1
配下	配下	ハイカ	名詞,普通名詞,一般	japanese	26	Tracker/Tracker.DebugHost/README.md:7; Tracker/Design/DebugHost/debug-host-cli-ui-detail-design.md:6; Tracker/Design/Core/tracker-architecture-plan.md:4; Tracker/Design/Core/tracker-core-engine-detail-design.md:3; Tracker/Design/DebugHost/raw-vision-viewer-plan.md:2; AGENTS.md:1; Tracker/Design/Archive/DebugHost/tasks-status.md:1; Tracker/Design/Core/tracker-test-maintainability-detail-design.md:1; Tracker/Design/tasks-status.md:1
反映	反映	ハンエイ	名詞,普通名詞,サ変可能	japanese	26	Tracker/Design/Core/tracker-architecture-plan.md:7; Tracker/Design/Core/tracker-history-000-038.md:5; feedback-points/feedback-points.md:4; Tracker/Design/Core/tracker-core-engine-detail-design.md:2; Tracker/Design/Archive/DebugHost/phases-status.md:1; Tracker/Design/Archive/DebugHost/tasks-status.md:1; Tracker/Design/DebugHost/debug-host-cli-ui-detail-design.md:1; Tracker/Design/DebugHost/debug-host-maintainability-design.md:1; Tracker/Design/RuntimeHost/runtime-host-plan.md:1; Tracker/Design/tasks-status.md:1; Tracker/Tracker.DebugHost/README.md:1; tools/lint/README.md:1
挙動	挙動	キョドウ	名詞,普通名詞,一般	japanese	25	Tracker/Design/DebugHost/debug-host-cli-ui-detail-design.md:8; Tracker/Design/Core/tracker-core-engine-detail-design.md:7; Tracker/Design/DebugHost/raw-vision-viewer-plan.md:3; Tracker/Design/Core/tracker-architecture-plan.md:2; Tracker/Design/DebugHost/debug-host-maintainability-design.md:2; Tracker/Design/Core/tracker-history-000-038.md:1; Tracker/Design/tasks-status.md:1; Tracker/Tracker.DebugHost/README.md:1
互換	互換	ゴカン	名詞,普通名詞,一般	japanese	25	Tracker/Design/DebugHost/debug-host-cli-ui-detail-design.md:6; Tracker/Design/RuntimeHost/runtime-host-plan.md:4; Tracker/Design/tasks-status.md:4; Tracker/Design/Core/tracker-architecture-plan.md:3; Tracker/Design/DebugHost/raw-vision-viewer-plan.md:2; README.md:1; Tracker/Design/Archive/DebugHost/phases-status.md:1; Tracker/Design/Archive/DebugHost/tasks-status.md:1; Tracker/Design/Core/tracker-test-maintainability-detail-design.md:1; Tracker/Design/phases-status.md:1; Tracker/Tracker.DebugHost/README.md:1
最終	最終	サイシュウ	名詞,普通名詞,一般	japanese	25	Tracker/Design/Core/tracker-architecture-plan.md:8; Tracker/Design/tasks-status.md:7; Tracker/Design/Core/tracker-history-000-038.md:5; Tracker/Design/Archive/DebugHost/tasks-status.md:2; Tracker/Design/Archive/Core/tasks-status.md:1; Tracker/Design/DebugHost/debug-host-cli-ui-detail-design.md:1; feedback-points/feedback-points.md:1
将来	将来	ショウライ	名詞,普通名詞,副詞可能	japanese	25	Tracker/Design/RuntimeHost/runtime-host-plan.md:8; Tracker/Design/Core/tracker-architecture-plan.md:7; Tracker/Design/tasks-status.md:5; Tracker/Design/DebugHost/raw-vision-viewer-plan.md:2; Tracker/Design/Core/tracker-core-engine-detail-design.md:1; Tracker/Design/DebugHost/debug-host-maintainability-design.md:1; Tracker/Design/phases-status.md:1
周回	周回	シュウカイ	名詞,普通名詞,サ変可能	japanese	24	Tracker/Design/tasks-status.md:22; Tracker/Design/phases-status.md:2
セット	セット	セット	名詞,普通名詞,サ変可能	katakana	24	Tracker/Design/Core/tracker-architecture-plan.md:24
上書き	上書き	ウワガキ	名詞,普通名詞,一般	japanese	23	Tracker/Tracker.DebugHost/README.md:9; Tracker/Design/Core/tracker-architecture-plan.md:7; Tracker/Design/Archive/Core/tasks-status.md:2; Tracker/Design/RuntimeHost/runtime-host-plan.md:2; Tracker/Tracker.CaptureReplay/README.md:2; Tracker/Design/Core/tracker-core-engine-detail-design.md:1
情報	情報	ジョウホウ	名詞,普通名詞,一般	japanese	23	Tracker/Design/Core/tracker-architecture-plan.md:9; Tracker/Design/DebugHost/debug-host-cli-ui-detail-design.md:4; Tracker/Design/DebugHost/raw-vision-viewer-plan.md:3; Tracker/Design/Archive/Core/tasks-status.md:2; Tracker/Design/tasks-status.md:2; Tracker/Tracker.DebugHost/README.md:2; tools/lint/README.md:1
接続	接続	セツゾク	名詞,普通名詞,サ変可能	japanese	23	Tracker/Design/Archive/Core/tasks-status.md:10; Tracker/Design/Archive/DebugHost/tasks-status.md:7; Tracker/Design/DebugHost/debug-host-cli-ui-detail-design.md:2; README.md:1; Tracker/Design/Core/tracker-history-000-038.md:1; Tracker/Design/DebugHost/raw-vision-viewer-plan.md:1; Tracker/Design/RuntimeHost/runtime-host-plan.md:1
復元	復元	フクゲン	名詞,普通名詞,サ変可能	japanese	23	Tracker/Design/Core/tracker-architecture-plan.md:6; Tracker/Design/DebugHost/debug-host-cli-ui-detail-design.md:6; Tracker/Design/DebugHost/raw-vision-viewer-plan.md:4; Tracker/Design/tasks-status.md:3; AGENTS.md:1; Tracker/Design/RuntimeHost/runtime-host-plan.md:1; Tracker/Tracker.CaptureReplay/README.md:1; Tracker/Tracker.DebugHost/README.md:1
確定	確定	カクテイ	名詞,普通名詞,サ変可能	japanese	22	Tracker/Design/Core/tracker-architecture-plan.md:14; Tracker/Design/tasks-status.md:4; Tracker/Design/Archive/DebugHost/tasks-status.md:2; Tracker/Design/DebugHost/debug-host-cli-ui-detail-design.md:1; tools/lint/README.md:1
前提	前提	ゼンテイ	名詞,普通名詞,一般	japanese	22	Tracker/Design/Core/tracker-architecture-plan.md:10; AGENTS.md:2; Tracker/Design/DebugHost/debug-host-cli-ui-detail-design.md:2; Tracker/Design/DebugHost/raw-vision-viewer-plan.md:2; Tracker/Tracker.DebugHost/README.md:2; README.md:1; Tracker/Design/Core/tracker-core-engine-detail-design.md:1; Tracker/Design/Core/tracker-history-000-038.md:1; Tracker/Design/RuntimeHost/runtime-host-plan.md:1
配置	配置	ハイチ	名詞,普通名詞,サ変可能	japanese	22	Tracker/Design/DebugHost/debug-host-cli-ui-detail-design.md:8; Tracker/Design/Archive/Core/tasks-status.md:3; Tracker/Design/Archive/DebugHost/tasks-status.md:2; Tracker/Design/Core/tracker-architecture-plan.md:2; Tracker/Design/Core/tracker-core-engine-detail-design.md:2; Tracker/Design/Core/tracker-history-000-038.md:1; Tracker/Design/DebugHost/debug-host-maintainability-design.md:1; Tracker/Design/DebugHost/raw-vision-viewer-plan.md:1; Tracker/Design/RuntimeHost/runtime-host-plan.md:1; Tracker/Tracker.DebugHost/README.md:1
補助	補助	ホジョ	名詞,普通名詞,サ変可能	japanese	22	Tracker/Design/tasks-status.md:17; Tracker/Design/DebugHost/raw-vision-viewer-plan.md:2; Tracker/Design/DebugHost/debug-host-cli-ui-detail-design.md:1; Tracker/Design/phases-status.md:1; Tracker/Tracker.DebugHost/README.md:1
手順	手順	テジュン	名詞,普通名詞,一般	japanese	21	AGENTS.md:10; feedback-points/feedback-points.md:4; Tracker/Design/Core/tracker-history-000-038.md:2; Tracker/Design/Core/tracker-core-engine-detail-design.md:1; Tracker/Design/Core/tracker-test-maintainability-detail-design.md:1; Tracker/Design/DebugHost/debug-host-cli-ui-detail-design.md:1; Tracker/Design/tasks-status.md:1; Tracker/Tracker.DebugHost/README.md:1
テスト	テスト	テスト	名詞,普通名詞,サ変可能	katakana	21	Tracker/Design/Core/tracker-architecture-plan.md:9; Tracker/Design/Core/tracker-history-000-038.md:7; README.md:2; Tracker/Design/DebugHost/raw-vision-viewer-plan.md:1; Tracker/Design/RuntimeHost/runtime-host-plan.md:1; Tracker/Tracker.DebugHost/README.md:1
領域	領域	リョウイキ	名詞,普通名詞,一般	japanese	21	AGENTS.md:5; Tracker/Design/DebugHost/debug-host-cli-ui-detail-design.md:4; Tracker/Design/DebugHost/raw-vision-viewer-plan.md:4; Tracker/Design/Core/tracker-architecture-plan.md:3; Tracker/Design/tasks-status.md:2; README.md:1; Tracker/Design/Archive/DebugHost/tasks-status.md:1; tools/lint/README.md:1
利用者	利用者	リヨウシャ	名詞,普通名詞,一般	japanese	21	Tracker/Design/tasks-status.md:7; tools/lint/README.md:5; feedback-points/feedback-points.md:4; AGENTS.md:3; Tracker/Design/Archive/DebugHost/tasks-status.md:1; Tracker/Design/phases-status.md:1
追従	追従	ツイジュウ	名詞,普通名詞,サ変可能	japanese	20	Tracker/Tracker.DebugHost/README.md:6; Tracker/Design/Core/tracker-architecture-plan.md:5; Tracker/Design/DebugHost/debug-host-cli-ui-detail-design.md:4; Tracker/Design/Archive/Core/tasks-status.md:2; Tracker/Design/Core/tracker-history-000-038.md:2; Tracker/Design/DebugHost/raw-vision-viewer-plan.md:1
配信	配信	ハイシン	名詞,普通名詞,サ変可能	japanese	20	Tracker/Design/Core/tracker-architecture-plan.md:16; Tracker/Design/Core/tracker-history-000-038.md:3; Tracker/Tracker.DebugHost/README.md:1
報告	報告	ホウコク	名詞,普通名詞,サ変可能	japanese	20	Tracker/Design/tasks-status.md:12; Tracker/Design/Archive/DebugHost/tasks-status.md:5; Tracker/Design/Core/tracker-history-000-038.md:2; Tracker/Design/Archive/Core/phases-status.md:1
下書き	下書き	シタガキ	名詞,普通名詞,サ変可能	japanese	19	Tracker/Design/tasks-status.md:15; Tracker/Design/phases-status.md:3; Tracker/Design/Archive/Core/tasks-status.md:1
重複	重複	チョウフク	名詞,普通名詞,サ変可能	japanese	19	Tracker/Design/DebugHost/debug-host-cli-ui-detail-design.md:7; Tracker/Design/Core/tracker-architecture-plan.md:5; Tracker/Design/Core/tracker-history-000-038.md:2; Tracker/Design/Core/tracker-test-maintainability-detail-design.md:2; AGENTS.md:1; Tracker/Design/DebugHost/raw-vision-viewer-plan.md:1; feedback-points/feedback-points.md:1
計画	計画	ケイカク	名詞,普通名詞,サ変可能	japanese	18	Tracker/Design/tasks-status.md:15; Tracker/Design/Archive/DebugHost/tasks-status.md:2; Tracker/Design/Archive/DebugHost/phases-status.md:1
差分	差分	サブン	名詞,普通名詞,一般	japanese	18	Tracker/Design/DebugHost/raw-vision-viewer-plan.md:4; Tracker/Design/Core/tracker-architecture-plan.md:3; Tracker/Design/DebugHost/debug-host-cli-ui-detail-design.md:3; Tracker/Design/Core/tracker-history-000-038.md:2; Tracker/Design/tasks-status.md:2; Tracker/Design/Core/tracker-core-engine-detail-design.md:1; Tracker/Design/Core/tracker-test-maintainability-detail-design.md:1; Tracker/Tracker.CaptureReplay/README.md:1; Tracker/Tracker.DebugHost/README.md:1
上限	上限	ジョウゲン	名詞,普通名詞,一般	japanese	18	Tracker/Design/Core/tracker-architecture-plan.md:7; Tracker/Tracker.DebugHost/README.md:4; Tracker/Design/DebugHost/raw-vision-viewer-plan.md:3; Tracker/Design/tasks-status.md:3; Tracker/Design/DebugHost/debug-host-cli-ui-detail-design.md:1
除外	除外	ジョガイ	名詞,普通名詞,サ変可能	japanese	18	Tracker/Design/Core/tracker-architecture-plan.md:9; Tracker/Design/DebugHost/debug-host-cli-ui-detail-design.md:3; Tracker/Design/tasks-status.md:3; tools/lint/README.md:3
送信	送信	ソウシン	名詞,普通名詞,サ変可能	japanese	18	Tracker/Design/tasks-status.md:8; Tracker/Tracker.DebugHost/README.md:8; Tracker/Design/Core/tracker-architecture-plan.md:1; Tracker/Design/DebugHost/debug-host-maintainability-design.md:1
抽出	抽出	チュウシュツ	名詞,普通名詞,サ変可能	japanese	18	Tracker/Design/Core/tracker-test-maintainability-detail-design.md:6; Tracker/Design/tasks-status.md:6; tools/lint/README.md:3; Tracker/Design/Core/tracker-architecture-plan.md:1; Tracker/Design/RuntimeHost/runtime-host-plan.md:1; Tracker/Design/phases-status.md:1
抑制	抑制	ヨクセイ	名詞,普通名詞,サ変可能	japanese	18	Tracker/Design/Core/tracker-history-000-038.md:10; Tracker/Design/Core/tracker-architecture-plan.md:2; Tracker/Design/Core/tracker-test-maintainability-detail-design.md:2; Tracker/Tracker.DebugHost/README.md:2; Tracker/Design/Core/tracker-core-engine-detail-design.md:1; Tracker/Tracker.CaptureReplay/README.md:1
履歴	履歴	リレキ	名詞,普通名詞,一般	japanese	18	Tracker/Design/Core/tracker-history-000-038.md:5; Tracker/Design/tasks-status.md:5; Tracker/Design/Archive/Core/phases-status.md:3; Tracker/Design/DebugHost/debug-host-cli-ui-detail-design.md:2; Tracker/Design/Core/tracker-architecture-plan.md:1; Tracker/Design/Core/tracker-core-engine-detail-design.md:1; Tracker/Design/DebugHost/debug-host-maintainability-design.md:1
改善	改善	カイゼン	名詞,普通名詞,サ変可能	japanese	17	Tracker/Design/Core/tracker-history-000-038.md:7; Tracker/Design/DebugHost/debug-host-cli-ui-detail-design.md:3; Tracker/Design/Core/tracker-test-maintainability-detail-design.md:2; Tracker/Design/DebugHost/debug-host-maintainability-design.md:2; Tracker/Design/Archive/DebugHost/phases-status.md:1; Tracker/Design/Archive/DebugHost/tasks-status.md:1; Tracker/Design/Core/tracker-core-engine-detail-design.md:1
近傍	近傍	キンボウ	名詞,普通名詞,一般	japanese	17	Tracker/Design/Core/tracker-architecture-plan.md:10; Tracker/Tracker.DebugHost/README.md:3; Tracker/Design/Core/tracker-core-engine-detail-design.md:2; Tracker/Design/DebugHost/debug-host-cli-ui-detail-design.md:2
構成	構成	コウセイ	名詞,普通名詞,サ変可能	japanese	17	Tracker/Design/Core/tracker-architecture-plan.md:5; Tracker/Design/tasks-status.md:5; Tracker/Design/DebugHost/raw-vision-viewer-plan.md:4; README.md:1; Tracker/Design/Core/tracker-core-engine-detail-design.md:1; Tracker/Design/DebugHost/debug-host-cli-ui-detail-design.md:1
保守性	保守性	ホシュセイ	名詞,普通名詞,一般	japanese	17	Tracker/Design/Core/tracker-history-000-038.md:8; Tracker/Design/DebugHost/debug-host-cli-ui-detail-design.md:3; Tracker/Design/Core/tracker-test-maintainability-detail-design.md:2; Tracker/Design/DebugHost/debug-host-maintainability-design.md:2; Tracker/Design/Core/tracker-architecture-plan.md:1; Tracker/Design/Core/tracker-core-engine-detail-design.md:1
加工	加工	カコウ	名詞,普通名詞,サ変可能	japanese	16	Tracker/Design/tasks-status.md:11; Tracker/Design/Archive/DebugHost/tasks-status.md:4; Tracker/Design/phases-status.md:1
工程	工程	コウテイ	名詞,普通名詞,一般	japanese	16	Tracker/Design/Archive/Core/phases-status.md:6; Tracker/Design/Archive/DebugHost/phases-status.md:5; Tracker/Design/Archive/DebugHost/tasks-status.md:3; Tracker/Design/Archive/Core/tasks-status.md:2
項目	項目	コウモク	名詞,普通名詞,一般	japanese	16	Tracker/Design/Archive/Core/tasks-status.md:4; Tracker/Design/tasks-status.md:3; tools/lint/README.md:3; Tracker/Design/DebugHost/debug-host-cli-ui-detail-design.md:2; Tracker/Tracker.DebugHost/README.md:2; Tracker/Design/Core/tracker-architecture-plan.md:1; feedback-points/feedback-points.md:1
コンポーネント	コンポーネント	コンポーネント	名詞,普通名詞,一般	katakana	16	Tracker/Design/DebugHost/raw-vision-viewer-plan.md:16
再利用	再利用	サイリヨウ	名詞,普通名詞,一般	japanese	16	Tracker/Design/DebugHost/debug-host-cli-ui-detail-design.md:5; Tracker/Design/Core/tracker-architecture-plan.md:4; Tracker/Design/tasks-status.md:3; AGENTS.md:2; README.md:1; Tracker/Design/RuntimeHost/runtime-host-plan.md:1
説明	説明	セツメイ	名詞,普通名詞,サ変可能	japanese	16	Tracker/Design/DebugHost/debug-host-maintainability-design.md:3; Tracker/Design/tasks-status.md:3; Tracker/Design/Core/tracker-core-engine-detail-design.md:2; Tracker/Design/DebugHost/raw-vision-viewer-plan.md:2; tools/lint/README.md:2; Tracker/Design/Archive/DebugHost/tasks-status.md:1; Tracker/Design/Core/tracker-test-maintainability-detail-design.md:1; Tracker/Design/DebugHost/debug-host-cli-ui-detail-design.md:1; Tracker/Design/phases-status.md:1
停止	停止	テイシ	名詞,普通名詞,サ変可能	japanese	16	Tracker/Design/DebugHost/raw-vision-viewer-plan.md:6; Tracker/Design/Core/tracker-architecture-plan.md:4; Tracker/Design/Archive/DebugHost/tasks-status.md:2; Tracker/Design/DebugHost/debug-host-cli-ui-detail-design.md:2; Tracker/Tracker.DebugHost/README.md:2
編集	編集	ヘンシュウ	名詞,普通名詞,サ変可能	japanese	16	Tracker/Design/tasks-status.md:5; Tracker/Design/Core/tracker-architecture-plan.md:2; Tracker/Design/Core/tracker-test-maintainability-detail-design.md:2; feedback-points/feedback-points.md:2; tools/lint/README.md:2; Tracker/Design/Core/tracker-history-000-038.md:1; Tracker/Design/phases-status.md:1; Tracker/Tracker.DebugHost/README.md:1
本体	本体	ホンタイ	名詞,普通名詞,一般	japanese	16	Tracker/Design/Core/tracker-architecture-plan.md:5; Tracker/Design/DebugHost/debug-host-cli-ui-detail-design.md:4; Tracker/Design/DebugHost/raw-vision-viewer-plan.md:3; Tracker/Design/Core/tracker-core-engine-detail-design.md:2; Tracker/Design/Core/tracker-test-maintainability-detail-design.md:1; Tracker/Tracker.DebugHost/README.md:1
向き	向き	ムキ	名詞,普通名詞,一般	japanese	16	Tracker/Design/Core/tracker-architecture-plan.md:10; Tracker/Tracker.DebugHost/README.md:3; Tracker/Design/Core/tracker-core-engine-detail-design.md:2; Tracker/Design/Core/tracker-history-000-038.md:1
要件	要件	ヨウケン	名詞,普通名詞,一般	japanese	16	Tracker/Design/Core/tracker-architecture-plan.md:4; Tracker/Design/tasks-status.md:4; Tracker/Design/DebugHost/debug-host-cli-ui-detail-design.md:2; Tracker/Design/DebugHost/raw-vision-viewer-plan.md:2; Tracker/Design/Archive/DebugHost/phases-status.md:1; Tracker/Design/Archive/DebugHost/tasks-status.md:1; Tracker/Design/RuntimeHost/runtime-host-plan.md:1; Tracker/Design/phases-status.md:1
公開	公開	コウカイ	名詞,普通名詞,サ変可能	japanese	15	Tracker/Design/tasks-status.md:6; Tracker/Design/Core/tracker-core-engine-detail-design.md:5; Tracker/Design/RuntimeHost/runtime-host-plan.md:2; Tracker/Design/Core/tracker-architecture-plan.md:1; Tracker/Design/DebugHost/raw-vision-viewer-plan.md:1
自動	自動	ジドウ	名詞,普通名詞,一般	japanese	15	Tracker/Tracker.DebugHost/README.md:5; Tracker/Design/Core/tracker-architecture-plan.md:2; Tracker/Tracker.CaptureReplay/README.md:2; Tracker/Design/DebugHost/debug-host-cli-ui-detail-design.md:1; Tracker/Design/DebugHost/debug-host-maintainability-design.md:1; Tracker/Design/DebugHost/raw-vision-viewer-plan.md:1; Tracker/Design/phases-status.md:1; Tracker/Design/tasks-status.md:1; tools/lint/README.md:1
先頭	先頭	セントウ	名詞,普通名詞,一般	japanese	15	Tracker/Design/Core/tracker-architecture-plan.md:7; Tracker/Design/DebugHost/debug-host-cli-ui-detail-design.md:3; Tracker/Design/Core/tracker-core-engine-detail-design.md:2; Tracker/Design/DebugHost/raw-vision-viewer-plan.md:2; Tracker/Design/DebugHost/debug-host-maintainability-design.md:1
操作	操作	ソウサ	名詞,普通名詞,サ変可能	japanese	15	Tracker/Design/Core/tracker-architecture-plan.md:5; Tracker/Design/Archive/DebugHost/tasks-status.md:4; Tracker/Design/Core/tracker-history-000-038.md:2; Tracker/Design/DebugHost/raw-vision-viewer-plan.md:2; Tracker/Design/Archive/Core/tasks-status.md:1; Tracker/Design/DebugHost/debug-host-cli-ui-detail-design.md:1
担当	担当	タントウ	名詞,普通名詞,サ変可能	japanese	15	Tracker/Design/RuntimeHost/runtime-host-plan.md:6; Tracker/Design/DebugHost/raw-vision-viewer-plan.md:5; Tracker/Design/Core/tracker-architecture-plan.md:3; Tracker/Design/DebugHost/debug-host-cli-ui-detail-design.md:1
直前	直前	チョクゼン	名詞,普通名詞,副詞可能	japanese	15	Tracker/Design/Core/tracker-architecture-plan.md:7; Tracker/Design/Core/tracker-test-maintainability-detail-design.md:3; Tracker/Design/DebugHost/raw-vision-viewer-plan.md:3; Tracker/Design/Core/tracker-core-engine-detail-design.md:1; Tracker/Design/DebugHost/debug-host-maintainability-design.md:1
以上	以上	イジョウ	名詞,普通名詞,副詞可能	japanese	14	Tracker/Design/Core/tracker-architecture-plan.md:6; Tracker/Design/DebugHost/debug-host-cli-ui-detail-design.md:5; Tracker/Tracker.DebugHost/README.md:2; Tracker/Design/Core/tracker-test-maintainability-detail-design.md:1
関連	関連	カンレン	名詞,普通名詞,サ変可能	japanese	14	Tracker/Design/Core/tracker-history-000-038.md:3; Tracker/Design/DebugHost/debug-host-cli-ui-detail-design.md:3; feedback-points/feedback-points.md:3; Tracker/Design/Core/tracker-core-engine-detail-design.md:2; AGENTS.md:1; README.md:1; Tracker/Tracker.DebugHost/README.md:1
競技場	競技場	キョウギジョウ	名詞,普通名詞,一般	japanese	14	Tracker/Design/Archive/DebugHost/tasks-status.md:7; Tracker/Design/Archive/Core/tasks-status.md:5; Tracker/Design/Archive/Core/phases-status.md:1; Tracker/Design/DebugHost/raw-vision-viewer-plan.md:1
許容	許容	キョヨウ	名詞,普通名詞,サ変可能	japanese	14	Tracker/Design/DebugHost/debug-host-cli-ui-detail-design.md:6; Tracker/Design/Core/tracker-architecture-plan.md:3; Tracker/Design/Core/tracker-core-engine-detail-design.md:2; Tracker/Design/DebugHost/debug-host-maintainability-design.md:1; Tracker/Design/tasks-status.md:1; Tracker/Tracker.DebugHost/README.md:1
係数	係数	ケイスウ	名詞,普通名詞,一般	japanese	14	Tracker/Tracker.DebugHost/README.md:13; Tracker/Design/Core/tracker-architecture-plan.md:1
検出	検出	ケンシュツ	名詞,普通名詞,サ変可能	japanese	14	Tracker/Design/Core/tracker-architecture-plan.md:6; Tracker/Design/tasks-status.md:3; tools/lint/README.md:2; Tracker/Design/Core/tracker-history-000-038.md:1; Tracker/Design/DebugHost/debug-host-cli-ui-detail-design.md:1; Tracker/Tracker.DebugHost/README.md:1
後続	後続	コウゾク	名詞,普通名詞,一般	japanese	14	Tracker/Design/Core/tracker-architecture-plan.md:7; Tracker/Design/DebugHost/debug-host-cli-ui-detail-design.md:4; feedback-points/feedback-points.md:2; Tracker/Design/DebugHost/raw-vision-viewer-plan.md:1
採用	採用	サイヨウ	名詞,普通名詞,サ変可能	japanese	14	Tracker/Design/Core/tracker-architecture-plan.md:8; Tracker/Design/DebugHost/debug-host-cli-ui-detail-design.md:3; Tracker/Design/DebugHost/raw-vision-viewer-plan.md:2; Tracker/Design/RuntimeHost/runtime-host-plan.md:1
縮退	縮退	シュクタイ	名詞,普通名詞,サ変可能	japanese	14	Tracker/Design/tasks-status.md:11; Tracker/Design/phases-status.md:2; Tracker/Design/DebugHost/debug-host-cli-ui-detail-design.md:1
初期	初期	ショキ	名詞,普通名詞,一般	japanese	14	Tracker/Design/Core/tracker-architecture-plan.md:6; Tracker/Design/DebugHost/debug-host-cli-ui-detail-design.md:3; Tracker/Tracker.DebugHost/README.md:3; Tracker/Design/tasks-status.md:1; tools/lint/README.md:1
従来	従来	ジュウライ	名詞,普通名詞,副詞可能	japanese	14	Tracker/Design/DebugHost/debug-host-cli-ui-detail-design.md:6; Tracker/Design/Core/tracker-architecture-plan.md:2; tools/lint/README.md:2; Tracker/Design/Archive/Core/tasks-status.md:1; Tracker/Design/DebugHost/debug-host-maintainability-design.md:1; Tracker/Design/RuntimeHost/runtime-host-plan.md:1; Tracker/Tracker.DebugHost/README.md:1
準備	準備	ジュンビ	名詞,普通名詞,サ変可能	japanese	14	Tracker/Design/Archive/DebugHost/tasks-status.md:6; Tracker/Design/Archive/Core/tasks-status.md:2; Tracker/Design/Archive/DebugHost/phases-status.md:2; Tracker/Design/Archive/Core/phases-status.md:1; Tracker/Design/Core/tracker-history-000-038.md:1; Tracker/Design/phases-status.md:1; tools/lint/README.md:1
対象外	対象外	タイショウガイ	名詞,普通名詞,一般	japanese	14	tools/lint/README.md:5; Tracker/Design/DebugHost/debug-host-cli-ui-detail-design.md:4; Tracker/Design/Core/tracker-architecture-plan.md:1; Tracker/Design/Core/tracker-core-engine-detail-design.md:1; Tracker/Design/Core/tracker-test-maintainability-detail-design.md:1; Tracker/Design/DebugHost/debug-host-maintainability-design.md:1; Tracker/Design/RuntimeHost/runtime-host-plan.md:1
段階	段階	ダンカイ	名詞,普通名詞,一般	japanese	14	Tracker/Design/phases-status.md:5; Tracker/Design/tasks-status.md:5; Tracker/Design/Core/tracker-architecture-plan.md:4
外れ値	外れ値	ハズレチ	名詞,普通名詞,一般	japanese	14	Tracker/Design/Core/tracker-architecture-plan.md:8; Tracker/Design/Core/tracker-core-engine-detail-design.md:4; Tracker/Tracker.DebugHost/README.md:2
倍率	倍率	バイリツ	名詞,普通名詞,一般	japanese	14	Tracker/Design/Archive/Core/tasks-status.md:5; Tracker/Design/DebugHost/debug-host-cli-ui-detail-design.md:4; Tracker/Tracker.DebugHost/README.md:3; Tracker/Design/Core/tracker-architecture-plan.md:2
扱い	扱い	アツカイ	名詞,普通名詞,一般	japanese	13	Tracker/Design/Core/tracker-architecture-plan.md:5; Tracker/Design/Core/tracker-core-engine-detail-design.md:2; Tracker/Design/DebugHost/debug-host-cli-ui-detail-design.md:2; Tracker/Design/Core/tracker-test-maintainability-detail-design.md:1; Tracker/Design/DebugHost/raw-vision-viewer-plan.md:1; Tracker/Tracker.DebugHost/README.md:1; tools/lint/README.md:1
以下	以下	イカ	名詞,普通名詞,一般	japanese	13	Tracker/Design/DebugHost/debug-host-cli-ui-detail-design.md:3; Tracker/Design/Core/tracker-architecture-plan.md:2; Tracker/Design/RuntimeHost/runtime-host-plan.md:2; Tracker/Design/tasks-status.md:2; AGENTS.md:1; Tracker/Design/Core/tracker-core-engine-detail-design.md:1; Tracker/Design/DebugHost/raw-vision-viewer-plan.md:1; Tracker/Tracker.DebugHost/README.md:1
