一般漢字語：本文維持の対象一覧
調査基準: 697fd5d2986d4c7bb774c096bdc35aa383083978（ローカル作業一覧草案を含む）
C=cspell全件診断、W=長文分割した許可一覧の補助診断。重複する検出を含む。
各行は同じ語・対応方針の全検出をまとめる。箇所は代表1件で、README.mdのF番号を参照。
未適用の提案。許可候補を自動で登録したものではない。

共通対応J01：本文を維持する。一般漢字語まで個別に許可を要求する契約の見直しを提案する。未適用。
語	W件数	代表箇所
向き	24	F07:234
吸収	1	F07:833
周回	24	F15:19
周囲	1	F13:295
周期	99	F04:38
周波数	1	F21:1(ms)
周辺	3	F02:10
呼び出し	6	F07:320
命令	5	F15:24
命名	6	F07:57
和集合	1	F07:148
品詞	3	F16:105
品質	12	F07:21
問題	9	F04:33
回帰	2	F07:509
回数	5	F07:390
回転	1	F07:788
因果	1	F13:248
固定	125	F03:19
固有	12	F05:19
圧縮	3	F07:499
地上	1	F10:62
型名	13	F08:111
基底	2	F10:67
基本	8	F07:152
基本方針	2	F07:30
基本的	1	F21:1(OS)
基本設定	2	F07:282
基本設計	1	F16:25
基準	46	F07:146
基準値	2	F07:825
基盤	8	F07:1127
堅牢	3	F03:23
報告	21	F03:16
報告書	9	F10:164
場合	203	F01:16
場外	16	F07:54
場所	5	F01:22
塗り	1	F11:268
境界	67	F06:28
境界線	1	F21:1(field rendering part)
増加	7	F07:193
変化	10	F07:465
変換	39	F07:16
変数	2	F12:49
変更	100	F03:17
変更内容	1	F21:1(PR)
外れ値	16	F07:631
外側	1	F07:202
外周	5	F13:108
外挿	1	F07:764
外枠	2	F13:227
外部	83	F04:54
多く	2	F10:24
多数	1	F11:36
大きさ	1	F13:154
大枠	1	F07:545
大量	2	F15:25
失敗	70	F06:40
契機	1	F07:576
契約	126	F02:7
奥行き	2	F13:108
妥当	1	F16:213
委任	7	F16:87
委譲	11	F09:64
姿勢	1	F07:574
存在	28	F01:24
学習	1	F07:710
安全	2	F13:60
安定	18	F07:416
安定化	1	F08:42
安定性	2	F07:911
完了	201	F03:13
完結	1	F19:13
定型	2	F11:154
定時	1	F13:30
定期	13	F11:51
定義	13	F01:14
宛先	3	F04:55
実体	3	F01:24
実効	5	F11:158
実態	1	F11:296
実施	2	F09:47
実行	149	F01:7
実行時	20	F07:343
実装	133	F01:6
実運用	6	F13:22
実際	9	F07:661
宣言	1	F10:160
寄与	1	F17:71
密度	1	F13:295
寸法	8	F06:49
対応	206	F03:17
対応表	10	F07:154
対照	3	F16:45
対象	179	F04:50
対象外	15	F07:23
寿命	4	F07:637
